Contour value = 0.9
4608 = number of vibrational basis functions from initial-state totally symemtric irreducible
4608 = number of vibrational basis functions
mode    lower bound    upper bound    phonons    continuum phonons
   1      -30.63053       17.87807          1              0.19377
   2      -16.48787       16.14434          0             -0.06166
   3      -27.69536        2.15023          1              0.97325
   4      -17.52400        9.04469          1              0.18208
   5       -4.28944       20.90710          1              0.65731
   6      -10.21283       10.52964          0             -0.07694
   7      -10.42891        9.62278          0             -0.05463
   8      -10.71873        8.79387          0             -0.00844
   9       -9.36334        9.04478          0             -0.08597
  10       -8.47064        9.84602          0             -0.01640
  11      -17.75542       -0.79716          2              1.20301
  12       -8.86836        7.98576          0             -0.05896
  13       -4.00111       12.41306          1              0.43351
  14       -7.78664        8.80295          0             -0.01622
  15        3.30488       19.50865          2              1.91053
  16       -2.43635       13.54629          1              0.71933
  17      -11.48417        4.24370          1              0.38504
  18       -8.34878        6.75283          0             -0.00661
  19       -6.78239        8.26315          0             -0.01476
  20       -8.50098        6.44458          1              0.01983
  21       -7.85005        3.65668          1              0.35842
  22       -4.94658        5.80185          0             -0.02430
  23       -5.58150        5.18149          0             -0.05885
  24       -5.33261        5.41485          0             -0.08297
  25       -5.75306        4.95694          0             -0.02408
  26       -4.81863        5.88141          0             -0.00142
  27       -5.07778        5.57083          0             -0.05114
  28      -19.04313       19.04313          0             -0.06246
  29      -15.54658       15.54658          0             -0.11659
  30      -13.88484       13.88484          0             -0.09122
  31      -10.29894       10.29894          0             -0.09759
  32       -9.46083        9.46083          0             -0.10815
  33       -9.52524        9.52524          0             -0.09826
  34       -8.50388        8.50388          0             -0.14633
  35       -8.92337        8.92337          0             -0.08781
  36       -8.85817        8.85817          0             -0.08047
  37       -8.18770        8.18770          0             -0.11532
  38       -8.44353        8.44353          0             -0.07751
  39       -8.18087        8.18087          0             -0.08309
  40       -7.87023        7.87023          0             -0.09238
  41       -7.88374        7.88374          0             -0.08710
  42       -7.86348        7.86348          0             -0.08253
  43       -7.55233        7.55233          0             -0.09412
  44       -7.47685        7.47685          0             -0.09708
  45       -5.37478        5.37478          0             -0.09177
  46       -5.37912        5.37912          0             -0.08938
  47       -5.36277        5.36277          0             -0.08667
  48       -5.33088        5.33088          0             -0.09012
